               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11013,            0.045327,             0.04004,           0.0066538,             0.88635,            0.027074,           0.0082204,            0.086595,            0.026926,            0.035757,              0.0838,              0.0018,              0.0018
                   1,            0.086425,             0.04734,             0.03357,             0.21972,             0.40215,             0.23581,            0.096706,            0.071326,            0.023637,             0.02759,            0.066627,           0.0036267,           0.0036267
                   2,            0.074674,             0.03862,            0.030615,             0.25159,             0.43787,             0.24373,             0.08569,            0.071814,            0.020824,            0.026543,            0.049378,           0.0053782,           0.0053782
                   3,            0.072077,            0.035893,            0.028564,             0.25487,             0.36543,               0.218,            0.089958,            0.067453,            0.017919,            0.024506,            0.032054,           0.0070545,           0.0070545
                   4,            0.071612,            0.036105,            0.026803,             0.35326,             0.54268,              0.4435,             0.21855,            0.060926,            0.016407,            0.022833,            0.014656,           0.0086555,           0.0086555
                   5,            0.069854,            0.035807,            0.027016,             0.32552,             0.50038,             0.40031,             0.20508,            0.064725,            0.015091,            0.023441,             0.00901,             0.00901,             0.00901
                   6,            0.062673,            0.033469,            0.025274,             0.30522,              0.6198,             0.35829,             0.17943,            0.058982,            0.016081,            0.021406,             0.00901,             0.00901,             0.00901
                   7,            0.059828,            0.032582,            0.025144,             0.29778,             0.59365,             0.37525,             0.15822,            0.054861,            0.016168,            0.021491,            0.008812,            0.008812,            0.008812
                   8,            0.058229,            0.031131,            0.023397,             0.49003,             0.64623,             0.55078,             0.30443,            0.048588,            0.015697,            0.021032,            0.008614,            0.008614,            0.008614
                   9,            0.057618,            0.031486,            0.022661,             0.36864,             0.58036,             0.42169,             0.15971,            0.056367,            0.015921,            0.020127,            0.008416,            0.008416,            0.008416
                  10,            0.054627,            0.030758,            0.021727,             0.43033,              0.5984,             0.55669,             0.28528,            0.045214,            0.015485,            0.019918,            0.008218,            0.008218,            0.008218
                  11,            0.052647,            0.030555,            0.020332,             0.41223,             0.64472,             0.49723,             0.24442,            0.048014,            0.015744,            0.018834,             0.00802,             0.00802,             0.00802
                  12,            0.051829,             0.03261,             0.02012,             0.42848,             0.64149,             0.52351,             0.29263,             0.04453,            0.015601,            0.018469,            0.007822,            0.007822,            0.007822
                  13,             0.04993,            0.030362,            0.019413,             0.45743,             0.65824,             0.54234,             0.33138,            0.042625,            0.015443,            0.018367,            0.007624,            0.007624,            0.007624
                  14,            0.047332,            0.028798,            0.018922,             0.48119,             0.59524,             0.53743,             0.32643,            0.040587,            0.016152,            0.018033,            0.007426,            0.007426,            0.007426
                  15,            0.047107,            0.031682,            0.018537,             0.46921,             0.56162,             0.47549,             0.29492,            0.041211,            0.017138,            0.017933,            0.007228,            0.007228,            0.007228
                  16,            0.046226,            0.028465,             0.01822,             0.51086,             0.67162,             0.58672,             0.38259,            0.040534,            0.015601,             0.01656,             0.00703,             0.00703,             0.00703
                  17,            0.048082,             0.02834,            0.017139,             0.56895,             0.56528,             0.55862,             0.34622,            0.039094,            0.015985,            0.017279,            0.006832,            0.006832,            0.006832
                  18,            0.044002,            0.029052,            0.016634,             0.49167,             0.62535,             0.56198,              0.3825,            0.039709,            0.016224,            0.017809,            0.006634,            0.006634,            0.006634
                  19,            0.043193,            0.027832,            0.016401,             0.51044,             0.69599,             0.57083,             0.36495,            0.038683,            0.016273,            0.017679,            0.006436,            0.006436,            0.006436
                  20,            0.043228,             0.02648,            0.015613,             0.54512,             0.69201,             0.59856,             0.39033,            0.039221,            0.016072,            0.016606,            0.006238,            0.006238,            0.006238
                  21,            0.042545,            0.028486,            0.015129,             0.52978,             0.68763,             0.58491,             0.36947,             0.03917,            0.016338,            0.015666,             0.00604,             0.00604,             0.00604
